Region	Address	EndAddress	Length	Type	Description	Details
ram	$7E0073	$7E0074	2 bytes	Misc.	$0000: Camera is moving right $0002: Camera is moving left	
ram	$7E0075	$7E0076	2 bytes	Misc.	$0000: Camera moving down $0002: Camera moving up	
ram	$7E0076	$7E0077	2 bytes	Map	World Map: Current stage Yoshi sprite X coordinate	
ram	$7E0077	$7E0078	2 bytes	Misc.	Flag: A new column has been spawned in	
ram	$7E0079	$7E007A	2 bytes	Map	World Map: X Scroll destination	
ram	$7E0079	$7E007A	2 bytes	Misc.	Flag: A new row has been spawned in	
ram	$7E007B	$7E007C	2 bytes	Layer 1 Tilemap	VRAM foreground tilemap address of most recently loaded column	
ram	$7E007D	$7E007E	2 bytes	Layer 1 Tilemap	VRAM foreground tilemap address of most recently loaded row	
ram	$7E007F	$7E0080	2 bytes	Layer 1 Tilemap	7E007B + 1 (right half of column)	
ram	$7E0081	$7E0082	2 bytes	Layer 1 Tilemap	7E007D with $0400 bit flipped (even/odd counterpart of tilemap row)	
ram	$7E0083	$7E0084	2 bytes	Misc.	Negative camera X column of newly spawned row shifted to: 0000000000cccc00	
ram	$7E0085	$7E0086	2 bytes	Layer 1 Tilemap	7E007D + $20 (bottom half of row)	
ram	$7E0087	$7E0088	2 bytes	Misc.	Camera X column + 1 of newly spawned row, shifted to: 0000000000cccc00	
ram	$7E0089	$7E008A	2 bytes	Misc.	Game Over screen state: $0000: nothing $0002: fading in $0004: active $0006: option chosen $0008: load title screen	
ram	$7E0089	$7E008A	2 bytes	Layer 1 Tilemap	7E0081 + $20 (second part of even/odd counterpart of tilemap row)	
ram	$7E008B	$7E008C	2 bytes	Misc.	Most recently spawned row's Y coordinate	
ram	$7E0091	$7E0098	8 bytes	Misc.	Game Over screen: Letter rotation values (Y axis), 1 byte per letter, from right to left ('R', 'E', ... 'A', 'G')	
ram	$7E0099	$7E00A0	8 bytes	Misc.	Game Over screen: Letter rotation values (X axis), 1 byte per letter, letters from right to left ('R', 'E', ... 'A', 'G')	
ram	$7E00A1	$7E00B0	16 bytes	Misc.	Game Over screen: Letter X coordinates, 1 word per letter, from left to right ('G', 'A', .. 'E', 'R')	
ram	$7E00B1	$7E00C0	16 bytes	Misc.	Game Over screen: Letter Y coordinates, 1 word per letter, from left to right ('G', 'A', .. 'E', 'R')	
ram	$7E00C1	$7E00C2	2 bytes	Misc.	Game Over screen: Scale value (size) of letters	
ram	$7E00C3	$7E00C4	2 bytes	Misc.	Game Over screen: Current option selected ($00 = yes, $02 = no)	
ram	$7E00C5	$7E00C6	2 bytes	Misc.	Game Over screen: Rotational velocity of letters (both X and Y axes)	
ram	$7E00C8	$7E00C9	2 bytes	Timer	Game Over screen: Frame timer (counts down) of waiting before letter rotation restarts	
ram	$7E00CA	$7E00CB	2 bytes	Timer	Game Over screen: Frame timer (counts up until $0200) for how long to wait until options appear	
ram	$7E00CC	$7E0100	53 bytes	Empty	Unused RAM, cleared (with $00) during every loading screen	
ram	$7E0100		1 byte	Empty	This area never gets initialized or emptied.	
ram	$7E0101	$7E010F	15 bytes	ASM	Interrupt jumps: NMI jumps to $7E0108, IRQ to $7E010C Copy of $008140-$00814E	
ram	$7E0111	$7E0117	7 bytes	Empty	This area never gets initialized or emptied.	
ram	$7E0118	$7E0119	2 bytes	Misc.	Game Mode. You can find the list of valid values here .	
ram	$7E011B		1 byte	Misc.	Full Game Mode completion flag $00: Game Mode still running (set by NMI/IRQ) $FF: Game Mode complete (set by end of game loop)	
ram	$7E011C		1 byte	Misc.	NMI & IRQ Mode $00: Nintendo Logo $02: Normal Level Mode $04: Offset-per-tile Level Modes (1-7/6-4) $06: Island Scenes $08: Story Cutscene / Credits $0A: Mode 7 bosses (Hookbill/Raphael) $0C: World Map $0E: Bonus & Bandit Games	
ram	$7E011D	$7E011E	2 bytes	Misc.	Mirror of hardware register $210D (BG1 Horizontal Scroll); since this register is write-twice, this is the full 16-bit mirror, it will write $7E011D and then $7E011E	
ram	$7E011F	$7E0120	2 bytes	Coordinate	Mirror of hardware register $210E (BG1 Vertical Scroll); since this register is write-twice, this is the full 16-bit mirror, it will write $7E011F and then $7E0120	
ram	$7E0121		1 byte	Misc.	Flag for level loading with stage intro text ($02 if true)	
ram	$7E0125		1 byte	Misc.	IRQ Counter Expected values are 0 to 2	
ram	$7E0126		1 byte	ASM	Main IRQ Mode $00: Default $02: Story Cutscene $04: Credits $06: Bonus/Bandit Games	
ram	$7E012D		1 byte	Super FX	SCBR (register $3038) mirror, used by GSU init	
ram	$7E012E		1 byte	Super FX	SCMR (register $303A) mirror, used by GSU init	
ram	$7E012F		1 byte	Debug	(Used by debug routine at $0080F8 ) Frame advance flag: #$00 = disable frame advance, #$01 = enable frame advance	
ram	$7E0130		1 byte	Debug	(Used by debug routine at $0080F8 ) Frame advance timer: When L or R is pressed on Controller 2 and frame advance flag at $012F is set, skips game mode code and decrements once per frame until it reaches 0, then next frame runs game mode code for one frame. Cleared when frame advance flag is set and neither L nor R is pressed on Controller 2.	
ram	$7E0131	$7E0132	2 bytes	Timer	Island: Frame counter	
ram	$7E0134	$7E0135	2 bytes	Level Data	Level header: Background color	
ram	$7E0136	$7E0137	2 bytes	Level Data	Level header: BG1 Tileset	
ram	$7E0138	$7E0139	2 bytes	Level Data	Level header: BG1 Palette	
ram	$7E013A	$7E013B	2 bytes	Level Data	Level header: BG2 Tileset	
ram	$7E013C	$7E013D	2 bytes	Level Data	Level header: BG2 Palette	
ram	$7E013E	$7E013F	2 bytes	Level Data	Level header: BG3 Tileset	
ram	$7E0140	$7E0141	2 bytes	Level Data	Level header: BG3 Palette	
ram	$7E0142	$7E0143	2 bytes	Level Data	Level header: Sprite Tileset	
ram	$7E0144	$7E0145	2 bytes	Level Data	Level header: Sprite Palette	
ram	$7E0146	$7E0147	2 bytes	Level Data	Level header: Level Mode	
ram	$7E0148	$7E0149	2 bytes	Level Data	Level header: Animation Tileset	
ram	$7E014A	$7E014B	2 bytes	Level Data	Level header: Animation Palette	
ram	$7E014C	$7E014D	2 bytes	Level Data	Level header: Background Scrolling	
ram	$7E014E	$7E014F	2 bytes	Level Data	Level header: Music	
ram	$7E0150	$7E0151	2 bytes	Level Data	Level header: Item Memory	
ram	$7E0152	$7E0153	2 bytes	Level Data	Level header: Unused	
ram	$7E015F	$7E01FF	161 bytes	ASM	Reserved area for stack. This area never gets initialized or emptied (even upon reset / power on).	
ram	$7E0200		1 byte	Misc.	Screen brightness: s000bbbb s = black if set b = brightness	
ram	$7E0201		1 byte	Misc.	Fade in/out mode $01 = fade out $00 = fade in	
ram	$7E0203	$7E0204	2 bytes	Misc.	Mirror of music level header + 1 Used as index for SPC block uploads	
ram	$7E0207	$7E020A	4 bytes	Music	SPC block indices that are currently loaded in ARAM	
ram	$7E0212		1 byte	Bonus Challenge	Bonus game ID: $00: FLIP CARDS $02: SCRATCH AND MATCH $04: DRAWING LOTS $06: MATCH CARDS $08: ROULETTE $0A: SLOT MACHINE	
ram	$7E0216	$7E0217	2 bytes	Cutscene	Flag: Final world unlocked	
ram	$7E0218	$7E0219	2 bytes	Misc.	Current world number (0000 = world 1, 0002 = world 2, etc.) NOTE: 000C isn't a world, but it's used in the final cinema sequence	
ram	$7E021A	$7E021B	2 bytes	Level Number	Current level number, NOTE: not translevel #, just the first level # loaded in from map	
ram	$7E0222	$7E0269	72 bytes	Map	Available tiles on map screen, one byte per level tile: $00: unavailable $01: beaten $80: current (grayed out)	
ram	$7E026A	$7E02B7	78 bytes	Empty	Unused RAM, cleared (with $00) via DMA during reset as well as before and after Nintendo logo	
ram	$7E02B8	$7E02FF	72 bytes	Map	Current level high scores to be displayed on world map (one byte per level tile)	
ram	$7E030E		1 byte	Misc.	Current save file loaded: $00: file 1 $02: file 2 $04: file 3	
ram	$7E030F	$7E0356	72 bytes	Map	Map screen tile graphics, 1-byte indices (local to current world loaded)	
ram	$7E0357	$7E0371	27 bytes	Pause Screen	Items in pause menu, one byte per ID: $00: free slot $01: +10 star $02: +20 star $03: POW $04: full egg $05: magnifying glass $06: star cloud $07: green melon $08: blue melon $09: red melon	
ram	$7E0372	$7E0373	2 bytes	Misc.	Tutorial message bitflags for 1-1 & 1-2: bfm00000 00000000, b=first loss of Baby Mario in 1-1, f=first Flower received in 1-1, m=first Middle Ring in 1-2	
ram	$7E0379	$7E037A	2 bytes	Misc.	Current number of lives, 999 maximum	
ram	$7E037B	$7E037C	2 bytes	Misc.	Current number of coins	
ram	$7E037D	$7E037E	2 bytes	Misc.	Number of deaths in the current level (not translevel), 999 maximum	
ram	$7E037F	$7E0380	2 bytes	Misc.	Number of 1up's collected in the current level (not translevel), 999 maximum	
ram	$7E0383	$7E0384	2 bytes	Sprite Palette	Current Yoshi color, set on level select (goal Yoshi reads this as well): $0000: Green $0001: Pink $0002: Yellow $0003: Light Blue $0004: Purple $0005: Brown $0006: Red $0007: Dark Blue	
ram	$7E0385	$7E0386	2 bytes	Bonus Challenge	Flag for bonus challenge for end of level. $0001 for no bonus. $FFFF for bonus.	
ram	$7E038C	$7E038D	2 bytes	Misc.	Flag: warp to a different screen rather than start of stage	
ram	$7E038E	$7E038F	2 bytes	Misc.	Current screen exit (index into screen exit data )	
ram	$7E0394	$7E0395	2 bytes	Timer	Counter between ticks for star increase when stars are under 10	
ram	$7E0396	$7E0397	2 bytes	Misc.	Star count (*10) remaining to be auto-increased by (used by middle ring & items)	
ram	$7E0398		1 byte	Pause Screen	Item currently being used; same item indices as $7E0357	
ram	$7E039A	$7E039B	2 bytes	Pause Screen	Pause Item in continuous use. Set by items such as star counter and egg fill to act as a pause until item finished use. Cleared on item use.	
ram	$7E039C		1 byte	Timer	Frame counter during item use (after unpause)	
ram	$7E03A1	$7E03A2	2 bytes	Misc.	first digit of star counter	
ram	$7E03A3	$7E03A4	2 bytes	Misc.	second digit of star counter	
ram	$7E03A9	$7E03AA	2 bytes	Timer	Frame counter for game modes $0D, $0E (during black cover sliding out), $0F, $10 (inside level, not score screen), and $11. Is paused during pause screen, and is reset upon entering stage and also upon star auto-increase (middle rings & +10 & +20 items).	
ram	$7E03AB		1 byte	Misc.	Flag: Star counter is below 9 (beeping/alarm sounds begin)	
ram	$7E03AC	$7E03AD	2 bytes	Misc.	Flag: At least one middle ring has been used in current level (value will be number of middle rings used)	
ram	$7E03AE	$7E03AF	2 bytes	Misc.	Flag: Boss has been visited before in current level, used to skip Kamek dialogue	
ram	$7E03B0	$7E03B1	2 bytes	Misc.	Flag: Baby Bowser boss has been visited before in current level, used to skip Kamek introduction	
ram	$7E03B4	$7E03B5	2 bytes	Misc.	Current number of red coins collected	
ram	$7E03B6	$7E03B7	2 bytes	Misc.	Current star count * 10	
ram	$7E03B8	$7E03B9	2 bytes	Misc.	Current number of flowers collected	
ram	$7E03BE	$7E03BF	2 bytes	Level Data	Current Item Memory page (0-3)	
ram	$7E03C0	$7E043F	128 bytes	Level Data	Item Memory Page 0: Vertical bitplane, each word represents a horizontal line (0 = not collected, 1 = collected)	
ram	$7E0440	$7E04BF	128 bytes	Level Data	Item Memory Page 1: Vertical bitplane, each word represents a horizontal line (0 = not collected, 1 = collected)	
ram	$7E04C0	$7E053F	128 bytes	Level Data	Item Memory Page 2: Vertical bitplane, each word represents a horizontal line (0 = not collected, 1 = collected)	
ram	$7E0540	$7E05BF	128 bytes	Level Data	Item Memory Page 3: Vertical bitplane, each word represents a horizontal line (0 = not collected, 1 = collected)	
ram	$7E05C0	$7E05C1	2 bytes	Player Physics	Current index into Yoshi delay buffers	
ram	$7E05C2	$7E06E9	296 bytes	Player Physics	Yoshi X Coordinate delay buffer (2 bytes each): last 148 frames of where Yoshi's X was, used by egg inventory items to follow Yoshi	
ram	$7E06EA	$7E0811	296 bytes	Player Physics	Yoshi Y Coordinate delay buffer (2 bytes each): last 148 frames of where Yoshi's Y was, used by egg inventory items to follow Yoshi	
ram	$7E093C		1 byte	Controller	Controller 1 Data 1 (global): AXLR---- A = A; X = X; L = L; R = R	
ram	$7E093D		1 byte	Controller	Controller 1 Data 2 (global): byetUDLR b = B; y = Y; e = Select; t = Start; U = up; D = down; L = left, R = right	
ram	$7E093E		1 byte	Controller	Controller 1 Data 1, on press/first frame (global): AXLR---- A = A; X = X; L = L; R = R	
ram	$7E093F		1 byte	Controller	Controller 1 Data 2, on press/first frame (global): byetUDLR b = B; y = Y; e = Select; t = Start; U = up; D = down; L = left, R = right	
ram	$7E0940		1 byte	Controller	Controller 2 Data 1 (global): AXLR---- A = A; X = X; L = L; R = R	
ram	$7E0941		1 byte	Controller	Controller 2 Data 2 (global): byetUDLR b = B; y = Y; e = Select; t = Start; U = up; D = down; L = left, R = right	
ram	$7E0942		1 byte	Controller	Controller 2 Data 1, on press/first frame (global): AXLR---- A = A; X = X; L = L; R = R	
ram	$7E0943		1 byte	Controller	Controller 2 Data 2, on press/first frame (global): byetUDLR b = B; y = Y; e = Select; t = Start; U = up; D = down; L = left, R = right	
ram	$7E0944		1 byte	Controller	Previous frame controller 1 data 1 (what was previously in $7E093C ), used for next frame's on press	
ram	$7E0945		1 byte	Controller	Previous frame controller 1 data 2 (what was previously in $7E093D ), used for next frame's on press	
ram	$7E0946		1 byte	Controller	Previous frame controller 2 data 1 (what was previously in $7E0940 ), used for next frame's on press	
ram	$7E0947		1 byte	Controller	Previous frame controller 2 data 2 (what was previously in $7E0941 ), used for next frame's on press	
ram	$7E0948	$7E0949	2 bytes	Misc.	Word that stores each color channel's fixed color data intensity (mirror of $2132 for each channel): 0bbbbbgg gggrrrrr b = blue channel intensity g = green channel intensity r = red channel intensity	
ram	$7E094A		1 byte	Misc.	Mirror of hardware register $420C	
ram	$7E094B		1 byte	Misc.	Mirror of hardware register $2101	
ram	$7E094C		1 byte	Misc.	Mirror of hardware register $212A	
ram	$7E094D		1 byte	Misc.	Mirror of hardware register $212B	
ram	$7E094E		1 byte	Misc.	Mirror of hardware register M7SEL ($211A)	
ram	$7E094F	$7E0950	2 bytes	Misc.	Mirror of hardware register M7A ($211B)	
ram	$7E0951	$7E0952	2 bytes	Misc.	Mirror of hardware register M7B ($211C)	
ram	$7E0953	$7E0954	2 bytes	Misc.	Mirror of hardware register M7C ($211D)	
ram	$7E0955	$7E0956	2 bytes	Misc.	Mirror of hardware register M7D ($211E)	
ram	$7E0957	$7E0958	2 bytes	Misc.	Mirror of hardware register M7X ($211F)	
ram	$7E0959	$7E095A	2 bytes	Misc.	Mirror of hardware register M7Y ($2120)	
ram	$7E095B		1 byte	Misc.	Mirror of hardware register $2106	
ram	$7E095E		1 byte	Misc.	Mirror of hardware register $2105	
ram	$7E095F		1 byte	Misc.	Mirror of hardware register $2107	
ram	$7E0960		1 byte	Misc.	Mirror of hardware register $2108	
ram	$7E0961		1 byte	Misc.	Mirror of hardware register $2109	
ram	$7E0962		1 byte	Misc.	Mirror of hardware register $210B	
ram	$7E0963		1 byte	Misc.	Mirror of hardware register $210C	
ram	$7E0964		1 byte	Misc.	Mirror of hardware register $2123	
ram	$7E0965		1 byte	Misc.	Mirror of hardware register $2124	
ram	$7E0966		1 byte	Misc.	Mirror of hardware register $2125	
ram	$7E0967		1 byte	Misc.	Mirror of hardware register $212C	
ram	$7E0968		1 byte	Misc.	Mirror of hardware register $212D	
ram	$7E0969		1 byte	Misc.	Mirror of hardware register $212E	
ram	$7E096A		1 byte	Misc.	Mirror of hardware register $212F	
ram	$7E096B		1 byte	Misc.	Mirror of hardware register $2130	
ram	$7E096C		1 byte	Misc.	Mirror of hardware register $2131	
ram	$7E0980		1 byte	Timer	Timer for updating Title Screen animation frames (title wavy effect, island rotating, sprite moving, etc). Each animation frame takes 4 frames to update.	
ram	$7E0B0F		1 byte	Pause Screen	Pause state: $00: unpaused $01-12: pause transition states $13: in pause menu $14: begin unpausing	
ram	$7E0B10		1 byte	Pause Screen	Flag for pause screen active - instantly turns on when pause pressed, instantly turns off when unpause pressed	
ram	$7E0B48	$7E0B49	2 bytes	Pause Screen	Flag that indicates whether or not menu items are disabled.	
ram	$7E0B4C	$7E0B4D	2 bytes	Misc.	Screen X position of black curtain during player death scene; when it reaches $0400, it resets to $0000 and the Retry screen appears	
ram	$7E0B55	$7E0B56	2 bytes	Timer	Mosaic Timer, and one of the many "game frozen" flags: gets set to $10 when touching a fuzzy and counts down once per frame. Controls the mosaic effect (mirrors $7E095B )	
ram	$7E0B67	$7E0B68	2 bytes	Timer	Tileset Animation Timer Different usage per mode	
ram	$7E0B7D	$7E0B7E	2 bytes	Timer	Idle frame counter; on >= $60 star counter is displayed	
ram	$7E0B7F	$7E0B80	2 bytes	Misc.	Frame counter for how long to display the star counter (right after counter changes)	
ram	$7E0B81		1 byte	Misc.	Star counter position: $00 = left side, $01 = right side	
ram	$7E0B91	$7E0BF0	96 bytes	Sprite Number	24 2-word entries, one sprite per: Word 1: Sprite ID for sprite to turn into when sprite state is $0006 Word 2: Unused Special Case: Goal Ring uses Word 1 and 2 as a timer	
ram	$7E0C04	$7E0C0B	8 bytes	Sprite Number	Table of all current special sprites' ID's, 4 word-sized entries. $0000 is used as "none"; anything else is assumed to be an ID. Special sprite ID is a relative ID computed by: (sprite ID) - $01B9	
ram	$7E0C1C	$7E0C1D	2 bytes	Misc.	Current autoscroll special sprite ID, 0 means no autoscroll active	
ram	$7E0C1E	$7E0C1F	2 bytes	Misc.	Flag: Autoscrolling currently active for camera X	
ram	$7E0C20	$7E0C21	2 bytes	Misc.	Flag: Autoscrolling currently active for camera Y (1-E and 6-8 flag this off)	
ram	$7E0C22	$7E0C25	4 bytes	Misc.	Current autoscroll camera X value	
ram	$7E0C26	$7E0C29	4 bytes	Misc.	Current autoscroll camera Y value	
ram	$7E0C2A	$7E0C2B	2 bytes	Misc.	Current autoscroll X velocity	
ram	$7E0C2C	$7E0C2D	2 bytes	Misc.	Current autoscroll Y velocity	
ram	$7E0C2E	$7E0C2F	2 bytes	Misc.	Current autoscroll checkpoint (index into autoscroller_values table)	
ram	$7E0C30	$7E0C31	2 bytes	Misc.	Next autoscroll checkpoint X value	
ram	$7E0C32	$7E0C33	2 bytes	Misc.	Next autoscroll checkpoint Y value	
ram	$7E0C34	$7E0C35	2 bytes	Misc.	Next autoscroll checkpoint speed value	
ram	$7E0C36	$7E0C37	2 bytes	Misc.	Autoscroll: next checkpoint X - current camera X (how much is left to go)	
ram	$7E0C38	$7E0C39	2 bytes	Misc.	Autoscroll: next checkpoint Y - current camera Y (how much is left to go)	
ram	$7E0C3A	$7E0C3B	2 bytes	Misc.	Flag: Currently active gusty generation	
ram	$7E0C3C	$7E0C3D	2 bytes	Misc.	Flag: Currently active Lakitu (at least 1)	
ram	$7E0C3E	$7E0C3F	2 bytes	Misc.	Flag: Currently active fuzzy generation	
ram	$7E0C44	$7E0C45	2 bytes	Misc.	Previous camera X value used by fuzzy generator	
ram	$7E0C46	$7E0C47	2 bytes	Misc.	Flag: Currently active Poochy	
ram	$7E0C48	$7E0C49	2 bytes	Misc.	Flag: Currently active bat generation	
ram	$7E0C4A	$7E0C4B	2 bytes	Misc.	Current generated bat count	
ram	$7E0C4C	$7E0C4D	2 bytes	Misc.	Flag: Currently active unknown special sprite	
ram	$7E0C68	$7E0C69	2 bytes	Misc.	Flag: Currently active Fire Lakitu (at least 1)	
ram	$7E0C6A	$7E0C6B	2 bytes	Misc.	Flag: Currently active Flutter generation	
ram	$7E0C6E	$7E0C6F	2 bytes	Misc.	Flag: Currently active Nipper Spore generation	
ram	$7E0C70	$7E0C71	2 bytes	Misc.	Flag: Currently active balloon with pokey ball generation	
ram	$7E0C72	$7E0C73	2 bytes	Misc.	Flag: Currently active balloon with missile generation	
ram	$7E0C74	$7E0C75	2 bytes	Misc.	Flag: Currently active balloon generation	
ram	$7E0C76	$7E0C77	2 bytes	Misc.	Flag: Currently active yellow platform generation	
ram	$7E0C78	$7E0C79	2 bytes	Misc.	Flag: Currently active Slime Drop generation	
ram	$7E0C7C	$7E0C7D	2 bytes	Misc.	Flag: Currently active unknown special sprite 3	
ram	$7E0C7E	$7E0C7F	2 bytes	Misc.	Flag: Currently active unknown special sprite 4	
ram	$7E0C80	$7E0C81	2 bytes	Player Physics	Tongue X position, relative to Yoshi	
ram	$7E0C82	$7E0C83	2 bytes	Player Physics	Tongue Y position, relative to Yoshi	
ram	$7E0C98	$7E0CAF	24 bytes	Sprite Number	Sprite table, 24 entries, one byte per: A copy of all sprites' states during camera events. Used as flags to not despawn sprites during camera events (like stairs)	
ram	$7E0CB0	$7E0CB1	2 bytes	Misc.	Camera Y offset from shaking (either large or small)	
ram	$7E0CB2	$7E0CB3	2 bytes	Misc.	Falling wall is on-screen flag. Because the game puts two walls five spaces apart (one for the left and another for the right side), this one prevents the game from having two walls being occupied in the same spot. In addition, they use HDMA to draw their graphics and so two separate walls can't co-exist at the same time due to this reason.	
ram	$7E0CCC	$7E0CCD	2 bytes	Timer	Damage recoil timer, disables left and right if not zero.	
ram	$7E0CEC	$7E0CED	2 bytes	Timer	! switch timer, starts off at $0280, counts down	
ram	$7E0CFD	$7E0CFE	2 bytes	Misc.	Timer for offset-by-tile level modes Controls for example moving platforms in 6-4	
ram	$7E0CFF	$7E0D00	2 bytes	Misc.	Amplitude of fuzzy offset-per-tile sinewave	
ram	$7E0D01	$7E0D02	2 bytes	Misc.	Positional offset of fuzzy offset-per-tile sinewave	
ram	$7E0D03	$7E0D04	2 bytes	Timer	Current time value for fuzzy palette morphing effect	
ram	$7E0D05		1 byte	Boss	Raphael Boss fight rotation value $00 to $FF (whole loop)	
ram	$7E0D09	$7E0D0A	2 bytes	Misc.	Background gradient Y scroll, lower part	
ram	$7E0D0B	$7E0D0C	2 bytes	Misc.	Background gradient Y scroll, upper part	
ram	$7E0D0F		1 byte	Misc.	Message box state: $00: no message box $01: init $03: black box growing (opening) $05: init message $07: message fading in (from black) $09: opened, player reading $0B: message fading out (to black) $0D: black box shrinking (closing)	
ram	$7E0D19	$7E0D1A	2 bytes	Misc.	Message Box: size of transitional black square as it grows	
ram	$7E0D21	$7E0D26	6 bytes	Misc.	During stage clear transition/wipe, rectangle mask's screen coordinates: Word 1: left X (low byte), right X (high byte); Word 2: top Y Word 3: bottom Y	
ram	$7E0D37	$7E0D38	2 bytes	Misc.	Background wave effect (fuzzy): amplitude of horizontal wave	
ram	$7E0D39	$7E0D3A	2 bytes	Misc.	Background wave effect (fuzzy): amplitude of vertical wave	
ram	$7E0DAE	$7E0DAF	2 bytes	Timer	Frame counter for holding up while on ground, used for Baby Mario's animation frame, increments by 2 when holding but then on release decays by halving each frame	
ram	$7E0DB0	$7E0DB1	2 bytes	Timer	Frame counter for holding down while on ground, used for Baby Mario's animation frame, increments by 2 when holding but then on release decays by halving each frame	
ram	$7E0DF9	$7E0DFA	2 bytes	Misc.	Amount of wooden planks (sprites 0x5E and 0x5F) running.	
ram	$7E0E2F		1 byte	Misc.	4 Red Toadies: counter of how many have grabbed Baby Mario	
ram	$7E0E31		1 byte	Misc.	4 Red Toadies: counter of how many are currently active/spawned	
ram	$7E0E33		1 byte	Misc.	4 Red Toadies: Currently active (at least one)	
ram	$7E0E37	$7E0E46	16 bytes	Coordinate	4 Red Toadies: Each Toadie's X positions (4 total) relative to the 4 Toadies base sprite, one toadie per entry: Byte 1: Subpixel Byte 2: Position Byte 3: Screen # Byte 4: Spillage from carry add for screen	
ram	$7E0E49	$7E0E58	16 bytes	Coordinate	4 Red Toadies: Each Toadie's Y positions (4 total) relative to the 4 Toadies base sprite, one toadie per entry: Byte 1: Subpixel Byte 2: Position Byte 3: Screen # Byte 4: Spillage from carry add for screen	
ram	$7E0FBD	$7E0FBE	2 bytes	Timer	Mirror of $701974 (frame counter) only when Green spiked platform (sprites $15F) is active.	
ram	$7E0FBF	$7E0FC0	2 bytes	Timer	Mirror of $701974 (frame counter) only when Red spiked platform (sprite $160) is active.	
ram	$7E105C		1 byte	Boss	Raphael the Raven: Y coordinate (relative to moon surface)	
ram	$7E105D		1 byte	Boss	Raphael the Raven: X coordinate (relative to wrapping around moon)	
ram	$7E105E	$7E105F	2 bytes	Boss	Bigger Boo: scale Raphael the Raven $7E105E: how far Yoshi is from Raphael (X coordinate around moon) Raphael the Raven $7E105F: current AI state ($00 - $14)	
ram	$7E1060		1 byte	Timer	Raphael the Raven: timer value - used to control timings of AI events. Decrements each frame, gets reset to either random values or specific values on state changes.	
ram	$7E1062		1 byte	Boss	Raphael the Raven: Facing - $00 for counterclockwise, $02 for clockwise; Baby Bowser: hit counter, fight ends when the low byte reaches $03 (or any value from $03 to $82).	
ram	$7E1066		1 byte	Boss	Bigger Boo: flag for taking damage (growing)	
ram	$7E1068	$7E1069	2 bytes	Boss	Big Bowser: Z coordinate (depth)	
ram	$7E106C	$7E106D	2 bytes	Boss	Big Bowser: horizontal position. Raphael the Raven: Y velocity	
ram	$7E1070	$7E1071	2 bytes	Boss	Big Bowser: index for summoning boulders, increments by 2 each boulder, ending in $0008 in the first summon and $000E in the second.	
ram	$7E1074	$7E1075	2 bytes	Boss	Big Bowser: flag indicating he is being hit by an egg right now, instantly clears	
